ID,Staff ID ,Last MKB staff training (yrs),Center,Borough,Assigned ACI Code,Correct ACI Code,Documentation,Call for verification,Wrongfully Accepted? ,Wrongfully Denied?,Error,PRUCOL?,ADDRESS
75,1,7,Concourse,Bronx,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"1375 Jerome Avenue, 2nd Fl., Bronx, NY 10452"
7,2,1,Coney Island,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
12,2,1,Coney Island,Brooklyn ,K,K,I-551 F22,Y,N,Y,"Right Code, Wrong Determination",N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
24,3,2,Coney Island,Brooklyn ,O,A,I-688B 12a5,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
27,4,6,Coney Island,Brooklyn ,A,J,I-766 a10,N,N,N,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
31,5,7,Coney Island,Brooklyn ,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
54,5,7,Coney Island,Brooklyn ,O,H,I-551 CU7,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
67,5,7,Coney Island,Brooklyn ,K,K,I-551 F27,Y,N,Y,"Right Code, Wrong Determination",N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
68,6,8,Coney Island,Brooklyn ,K,K,I-551 F28,Y,N,Y,"Right Code, Wrong Determination",N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
69,6,8,Coney Island,Brooklyn ,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
70,6,8,Coney Island,Brooklyn ,O,K,I-551 F16,N,N,Y,Wrong ACI Code,N,"2857-2865 West 8th Street, 1st Fl., Brooklyn, NY?11224"
5,7,2,Crotona,Bronx,G,O,I-94 order of supervision,N,Y,N,Wrong ACI Code,Y,"1910 Monterey Avenue, 5th Fl., Bronx, NY 10457"
